run_id,wall_clock_time,scenario,batch_size,avg_latency,p95_latency,p99_latency,latency_std,cv_latency,throughput,cpu_usage,memory_usage,sla_breach
9e5acc0e,2026-03-28T10:12:15.875764,baseline,8,0.009251,0.014454,0.014574,0.003178,0.3435,108.0973,93.9,85.1,0
7b323ad9,2026-03-28T10:12:16.073193,baseline,8,0.008465,0.009709,0.00974,0.001285,0.1518,118.1348,94.0,85.0,0
3bb00664,2026-03-28T10:12:16.271794,baseline,8,0.008356,0.011647,0.012955,0.002124,0.2542,119.6683,91.9,85.0,0
24e5fb8d,2026-03-28T10:12:16.462515,baseline,8,0.007973,0.011864,0.013898,0.002339,0.2933,125.4185,0.0,84.7,0
0db5fa53,2026-03-28T10:12:16.651706,baseline,8,0.007728,0.009943,0.010338,0.001554,0.201,129.3983,0.0,84.8,0
ad2bbfd1,2026-03-28T10:12:16.837458,baseline,32,0.0075,0.009107,0.009356,0.001193,0.159,133.3345,95.6,84.8,0
30345192,2026-03-28T10:12:17.035916,baseline,32,0.008931,0.012218,0.013254,0.002008,0.2248,111.9747,92.6,84.4,0
5031aafa,2026-03-28T10:12:17.257696,baseline,32,0.010371,0.014101,0.015259,0.002457,0.2369,96.4259,89.4,84.3,0
0bf28c3a,2026-03-28T10:12:17.456597,baseline,32,0.008675,0.012431,0.013394,0.002334,0.2691,115.2789,0.0,84.2,0
13c042aa,2026-03-28T10:12:17.654268,baseline,32,0.008566,0.012142,0.012345,0.002062,0.2408,116.7365,0.0,84.2,0
9fb9294f,2026-03-28T10:12:17.851705,baseline,64,0.008318,0.010307,0.010454,0.001468,0.1765,120.2173,94.5,84.3,0
9a472093,2026-03-28T10:12:18.070055,baseline,64,0.00945,0.014234,0.014287,0.002693,0.285,105.8236,91.6,84.3,0
95ea48a2,2026-03-28T10:12:18.265647,baseline,64,0.007941,0.011233,0.012095,0.00194,0.2443,125.9339,90.5,84.3,0
0720372e,2026-03-28T10:12:18.464055,baseline,64,0.00825,0.011431,0.013153,0.001997,0.242,121.2088,91.7,84.3,0
08b768da,2026-03-28T10:12:18.663522,baseline,64,0.008672,0.011372,0.011862,0.001787,0.206,115.3122,0.0,84.1,0
dfe84b5c,2026-03-28T10:12:18.870409,baseline,128,0.008983,0.012681,0.013294,0.001961,0.2183,111.3214,95.0,84.2,0
e7dbab8d,2026-03-28T10:12:19.079472,baseline,128,0.009162,0.012585,0.013744,0.001953,0.2132,109.1436,0.0,84.3,0
5ccce613,2026-03-28T10:12:19.291823,baseline,128,0.00947,0.01113,0.011231,0.001299,0.1372,105.6014,0.0,84.3,0
3d68ba91,2026-03-28T10:12:19.526502,baseline,128,0.011003,0.01376,0.014077,0.002087,0.1896,90.8838,0.0,84.8,0
414fdd3c,2026-03-28T10:12:19.882350,baseline,128,0.023678,0.053536,0.055581,0.016806,0.7098,42.2328,97.2,86.2,1
6db05dd8,2026-03-28T10:12:20.309491,baseline,256,0.029915,0.067254,0.075263,0.021107,0.7056,33.4283,96.4,86.0,1
5aa392ae,2026-03-28T10:12:20.637353,baseline,256,0.019325,0.026295,0.02657,0.004986,0.258,51.7453,0.0,86.0,1
363ebf1d,2026-03-28T10:12:20.907903,baseline,256,0.013821,0.015951,0.01598,0.001755,0.127,72.3556,99.4,84.9,0
80b11e1c,2026-03-28T10:12:21.534592,baseline,256,0.040035,0.111811,0.155713,0.043076,1.0759,24.9779,98.8,86.5,1
251f91ad,2026-03-28T10:12:21.853988,baseline,256,0.019868,0.027783,0.028861,0.004656,0.2343,50.3322,92.5,86.4,1
0b0f7ac4,2026-03-28T10:12:22.282659,baseline,512,0.029411,0.066678,0.086653,0.02147,0.73,34.0012,100.0,86.4,1
