run_id,wall_clock_time,regime,batch_size,avg_latency,p95_latency,p99_latency,latency_std,cv_latency,throughput,cpu_usage,memory_usage,sla_breach
01a9d53e,2026-03-28T17:31:20.995453,light_load,8,0.01119,0.024527,0.026392,0.006827,0.6101,89.3654,92.6,85.0,1
d4723ac2,2026-03-28T17:31:21.189334,light_load,8,0.0081,0.012872,0.014612,0.002768,0.3417,123.4621,0.0,84.9,0
20cd9149,2026-03-28T17:31:21.461678,light_load,8,0.012135,0.017327,0.017786,0.003819,0.3147,82.4042,0.0,84.5,0
1895a0c8,2026-03-28T17:31:21.651647,light_load,8,0.00787,0.012307,0.013608,0.002695,0.3425,127.0616,0.0,84.3,0
20e487c3,2026-03-28T17:31:21.863990,light_load,8,0.009327,0.012674,0.012773,0.001993,0.2137,107.2198,96.6,84.4,0
91939716,2026-03-28T17:31:22.133599,light_load,8,0.01506,0.030995,0.032459,0.009358,0.6214,66.4016,89.0,84.3,1
b814034e,2026-03-28T17:31:22.350967,light_load,8,0.009716,0.016606,0.018975,0.003953,0.4069,102.9214,93.3,84.2,0
55e7af36,2026-03-28T17:31:22.567049,light_load,8,0.009719,0.017801,0.021471,0.004756,0.4894,102.8949,0.0,84.2,0
75fe3d7a,2026-03-28T17:31:22.762579,light_load,8,0.007833,0.011817,0.013123,0.002455,0.3134,127.6609,0.0,84.2,0
f7dda627,2026-03-28T17:31:23.018424,light_load,8,0.013994,0.02934,0.033223,0.00824,0.5888,71.4575,91.8,84.2,1
fb6946ce,2026-03-28T17:31:23.212347,light_load,16,0.008116,0.011267,0.01133,0.001975,0.2433,123.2135,91.8,84.2,0
6a9c78f0,2026-03-28T17:31:23.416138,light_load,16,0.008734,0.013288,0.014605,0.002812,0.322,114.4906,95.2,84.1,0
cc9312c9,2026-03-28T17:31:23.612716,light_load,16,0.008252,0.013522,0.013915,0.002941,0.3564,121.1874,96.3,84.2,0
4961ab51,2026-03-28T17:31:23.806324,light_load,16,0.00845,0.010687,0.010923,0.001508,0.1784,118.3378,92.8,84.2,0
28d54c68,2026-03-28T17:31:24.048790,light_load,16,0.01272,0.023494,0.028201,0.006155,0.4839,78.6178,92.6,84.2,1
e9e46889,2026-03-28T17:31:24.235549,light_load,16,0.00694,0.00927,0.009818,0.001316,0.1897,144.1019,92.0,84.1,0
bb55044e,2026-03-28T17:31:24.442485,light_load,16,0.009017,0.011947,0.012824,0.001895,0.2101,110.9059,91.9,84.1,0
c122f392,2026-03-28T17:31:24.646362,light_load,16,0.009591,0.012788,0.012947,0.00198,0.2065,104.2674,0.0,84.0,0
686a2795,2026-03-28T17:31:24.865966,light_load,16,0.009828,0.013398,0.014003,0.001968,0.2002,101.7482,0.0,84.1,0
915c057b,2026-03-28T17:31:25.083809,light_load,16,0.009848,0.012873,0.012962,0.00236,0.2397,101.5426,90.5,84.1,0
0e4031b3,2026-03-28T17:31:25.282296,light_load,32,0.008189,0.012218,0.0127,0.002394,0.2923,122.1099,93.0,84.1,0
3e6e92b8,2026-03-28T17:31:25.500040,light_load,32,0.009997,0.013218,0.013557,0.001857,0.1857,100.0327,94.1,84.1,0
dda39e59,2026-03-28T17:31:25.711177,light_load,32,0.008977,0.012251,0.012809,0.002196,0.2446,111.3933,0.0,84.1,0
99290197,2026-03-28T17:31:25.916486,light_load,32,0.008967,0.011686,0.011746,0.002346,0.2616,111.5216,0.0,84.1,0
1b0ff6c5,2026-03-28T17:31:26.111086,light_load,32,0.007783,0.01039,0.010429,0.001755,0.2254,128.4903,91.6,84.1,0
e63a3a16,2026-03-28T17:31:26.392557,light_load,32,0.016418,0.043776,0.056542,0.015325,0.9334,60.9072,96.2,83.9,1
d573679b,2026-03-28T17:31:26.600098,light_load,32,0.008891,0.011606,0.011983,0.001905,0.2143,112.4682,92.0,84.0,0
