batch_size,avg_latency_ms,throughput,cpu_usage,cv_latency,sla_breach_pct,latency_growth,tput_collapse_pct,n_alarms,bottleneck_type,severity,confidence,recommendation,alarms
8,7.15,140.55,54.3,0.23,0.0,1.0,0.0,0,healthy,healthy,high,System operating normally. Maintain current batch size.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
16,7.2,139.4,53.5,0.222,0.0,1.01,0.8,1,degrading,medium,low,Performance degrading. Monitor closely. Investigate throughput and latency trends.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': True}"
32,7.95,127.26,54.2,0.258,0.0,1.11,9.5,0,healthy,healthy,high,System operating normally. Maintain current batch size.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
48,9.15,110.77,55.5,0.249,0.0,1.28,21.2,0,healthy,healthy,high,System operating normally. Maintain current batch size.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
64,9.02,112.04,57.5,0.258,0.0,1.26,20.3,0,healthy,healthy,high,System operating normally. Maintain current batch size.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
96,10.16,99.14,57.3,0.3,0.0,1.42,29.5,0,healthy,healthy,high,System operating normally. Maintain current batch size.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
128,11.87,91.52,56.6,0.381,0.0,1.66,34.9,1,scheduling_noise,medium,medium,High latency variance (cv=0.38). System unpredictable at this batch size. Avoid for latency-sensitive workloads.,"{'throughput_collapsing': False, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': True, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
192,18.5,68.76,61.9,0.334,0.0,2.59,51.1,2,throughput_collapse,high,medium,Throughput has collapsed 51% from peak. Cap batch size below this point or scale horizontally.,"{'throughput_collapsing': True, 'latency_growing_fast': True, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
256,12.75,78.82,54.8,0.242,0.0,1.78,43.9,1,degrading,medium,low,Performance degrading. Monitor closely. Investigate throughput and latency trends.,"{'throughput_collapsing': True, 'latency_growing_fast': False, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
320,15.21,71.01,55.5,0.368,0.0,2.13,49.5,3,throughput_collapse,high,high,Throughput has collapsed 49% from peak. Cap batch size below this point or scale horizontally.,"{'throughput_collapsing': True, 'latency_growing_fast': True, 'cpu_elevated': False, 'high_variance': True, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
384,14.94,67.5,53.5,0.23,0.0,2.09,52.0,2,throughput_collapse,high,medium,Throughput has collapsed 52% from peak. Cap batch size below this point or scale horizontally.,"{'throughput_collapsing': True, 'latency_growing_fast': True, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
448,16.0,63.0,54.7,0.167,0.0,2.24,55.2,2,throughput_collapse,high,medium,Throughput has collapsed 55% from peak. Cap batch size below this point or scale horizontally.,"{'throughput_collapsing': True, 'latency_growing_fast': True, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
512,20.85,50.19,55.6,0.21,0.0,2.92,64.3,2,throughput_collapse,high,medium,Throughput has collapsed 64% from peak. Cap batch size below this point or scale horizontally.,"{'throughput_collapsing': True, 'latency_growing_fast': True, 'cpu_elevated': False, 'high_variance': False, 'sla_frequently_breached': False, 'nonlinear_acceleration': False}"
