batch_size,cpu_usage_clean,throughput,cv_latency,rho,AI,sla_breach_new
128,57.2,106.49,0.3568,0.24232984816803138,42.666666666666664,0
64,57.3,101.9112,0.1886,0.27490774366252124,25.6,0
512,58.6,46.4836,0.1146,0.6692718915419618,85.33333333333333,1
256,54.650000000000006,80.8427,0.2253,0.42480889488678486,64.0,0
512,58.0,53.8148,0.2535,0.6171108302487838,85.33333333333333,0
8,54.7,124.1631,0.2352,0.11658677031713871,3.878787878787879,0
8,54.7,129.2884,0.2258,0.08012055913125848,3.878787878787879,0
32,55.2,119.6665,0.3328,0.1485798175960159,14.222222222222221,0
16,53.5,147.1473,0.1938,0.0,7.529411764705882,0
16,53.8,145.6768,0.1845,0.0,7.529411764705882,0
320,56.7,85.942,0.147,0.38852767218759465,71.11111111111111,0
128,56.0,95.8208,0.3707,0.3182405851755028,42.666666666666664,0
448,56.2,62.8392,0.1365,0.5529027495070012,81.45454545454545,0
448,53.5,68.8342,0.1465,0.5102486734413364,81.45454545454545,0
96,57.3,85.2207,0.5849,0.39365967970488647,34.90909090909091,0
192,55.8,101.5916,0.2397,0.27718167906045055,54.857142857142854,0
16,53.4,138.6093,0.2255,0.013802898147029063,7.529411764705882,0
96,57.45,102.9641,0.2174,0.26741642144575073,34.90909090909091,0
64,58.1,115.2719,0.2606,0.17984714081172404,25.6,0
192,55.8,84.5644,0.3363,0.3983292160054528,54.857142857142854,0
512,57.4,55.4955,0.1568,0.6051527475726264,85.33333333333333,0
64,57.7,101.0675,0.2372,0.28091062005561573,25.6,0
256,54.9,84.6462,0.1296,0.39774721376655864,64.0,0
32,55.0,138.8438,0.2123,0.012134444295920033,14.222222222222221,0
384,53.2,65.7794,0.197,0.5319833976390667,76.8,0
192,68.3,31.9501,0.3422,0.7726768981308425,54.857142857142854,1
48,57.3,118.4596,0.1377,0.15716684084933552,20.210526315789473,0
320,57.1,66.7038,0.2175,0.5254063454430531,71.11111111111111,0
384,53.8,68.2017,0.1644,0.5147488741271633,76.8,0
512,54.1,51.6231,0.1846,0.6327046481825815,85.33333333333333,0
64,57.1,99.0986,0.3236,0.29491922895731504,25.6,0
512,54.1,56.5403,0.1796,0.5977190563844017,85.33333333333333,0
448,53.5,52.8623,0.3735,0.6238878123092584,81.45454545454545,0
96,57.7,93.328,0.3412,0.33597671208400814,34.90909090909091,0
320,57.25,34.5521,1.3674,0.7541638195782386,71.11111111111111,1
320,54.650000000000006,70.0117,0.3636,0.5018708294768125,71.11111111111111,0
512,56.1,28.6322,0.4403,0.7962835635150409,85.33333333333333,1
448,53.2,67.2722,0.1142,0.5213622125263353,81.45454545454545,0
64,57.7,107.2148,0.3162,0.2371729383544544,25.6,0
96,57.45,110.9545,0.2999,0.21056519052079858,34.90909090909091,0
16,53.5,133.7658,0.1701,0.04826411873486003,7.529411764705882,0
8,54.5,142.3754,0.2498,0.0,3.878787878787879,0
48,53.5,118.9559,0.2134,0.15363569523609288,20.210526315789473,0
192,67.5,30.3967,0.3574,0.7837292487163978,54.857142857142854,1
96,57.4,98.8376,0.3066,0.29677622876601206,34.90909090909091,0
256,55.2,69.8596,0.4512,0.5029530121239497,64.0,0
32,53.7,129.6801,0.1746,0.07733363642985369,14.222222222222221,0
