run_id,wall_clock_time,batch_size,repeat_index,avg_latency,p95_latency,p99_latency,latency_std,cv_latency,throughput,cpu_usage,memory_usage,sla_breach
849c6e73,2026-03-14T06:34:11.204379+00:00,8,0,0.007735,0.009716,0.009735,0.001746,0.2258,129.2884,54.7,81.5,0
685aecb1,2026-03-14T06:34:11.801399+00:00,8,1,0.006521,0.008454,0.008467,0.001264,0.1939,153.3432,52.0,81.6,0
6b78ee1f,2026-03-14T06:34:12.394681+00:00,8,2,0.006951,0.008839,0.008845,0.001441,0.2074,143.8727,54.7,81.0,0
a8165a33,2026-03-14T06:34:12.993517+00:00,8,3,0.007596,0.009771,0.009785,0.001504,0.198,131.6568,52.2,80.9,0
d81da7ad,2026-03-14T06:34:13.594050+00:00,8,4,0.008054,0.011125,0.011599,0.001895,0.2352,124.1631,55.1,80.9,0
b3b92197,2026-03-14T06:34:14.171595+00:00,8,5,0.006629,0.009334,0.009679,0.001643,0.2478,150.8424,57.0,81.4,0
0331376b,2026-03-14T06:34:14.757583+00:00,8,6,0.007024,0.009905,0.010002,0.001755,0.2498,142.3754,51.4,81.4,0
51415e12,2026-03-14T06:34:15.349771+00:00,8,7,0.006718,0.009731,0.010091,0.001877,0.2793,148.8523,54.5,80.9,0
22b2f934,2026-03-14T06:34:15.935131+00:00,16,0,0.006796,0.008751,0.008986,0.001317,0.1938,147.1473,53.1,80.9,0
948eded8,2026-03-14T06:34:16.527889+00:00,16,1,0.006957,0.009351,0.009457,0.00164,0.2358,143.7328,53.5,80.8,0
1ae4c86d,2026-03-14T06:34:17.119760+00:00,16,2,0.00753,0.009976,0.010335,0.002019,0.2681,132.8047,53.8,80.8,0
c4dded4e,2026-03-14T06:34:17.715294+00:00,16,3,0.007476,0.00965,0.009791,0.001272,0.1701,133.7658,51.0,80.9,0
66f326cc,2026-03-14T06:34:18.301664+00:00,16,4,0.006865,0.008827,0.009092,0.001267,0.1845,145.6768,58.2,80.8,0
6c58595b,2026-03-14T06:34:18.890074+00:00,16,5,0.006706,0.009977,0.010698,0.001691,0.2521,149.1306,53.4,80.9,0
16817448,2026-03-14T06:34:19.489093+00:00,16,6,0.008044,0.010996,0.012088,0.001966,0.2443,124.3092,53.9,80.8,0
6ed35e1d,2026-03-14T06:34:20.080314+00:00,16,7,0.007215,0.009778,0.010111,0.001627,0.2255,138.6093,53.0,80.8,0
